draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
23,informed,pren_spearman,26,-0.20478632478632477,-0.14461538461538462
23,generic,fake_pren_spearman,6,0.7714285714285715,0.6
24,all,surrogate_spearman,32,-0.027492668621700876,-0.00806451612903226
24,all,surrogate_mae,32,-0.0219941348973607,-0.024193548387096777
24,all,surrogate_rmse,32,0.033357771260997066,0.036290322580645164
24,informed,surrogate_spearman,27,-0.10927960927960927,-0.06552706552706554
24,generic,surrogate_spearman,5,0.09999999999999999,0.0
24,informed,pren_spearman,27,0.3815628815628816,0.24786324786324793
24,generic,fake_pren_spearman,5,0.7,0.6
25,all,surrogate_spearman,32,-0.00219941348973607,-0.012096774193548388
25,all,surrogate_mae,32,0.03005865102639296,0.020161290322580648
25,all,surrogate_rmse,32,0.11070381231671556,0.060483870967741944
25,informed,surrogate_spearman,25,-0.16999999999999998,-0.10666666666666665
25,generic,surrogate_spearman,7,0.8214285714285715,0.6190476190476191
25,informed,pren_spearman,25,0.45076923076923076,0.3266666666666666
25,generic,fake_pren_spearman,7,0.4642857142857144,0.33333333333333337
26,all,surrogate_spearman,32,-0.013929618768328446,-0.01612903225806452
26,all,surrogate_mae,32,-0.18365102639296185,-0.12500000000000003
26,all,surrogate_rmse,32,-0.10777126099706744,-0.05645161290322581
26,informed,surrogate_spearman,24,0.05826086956521739,0.021739130434782608
26,generic,surrogate_spearman,8,-0.11904761904761905,-0.14285714285714285
26,informed,pren_spearman,24,0.32695652173913037,0.21739130434782608
26,generic,fake_pren_spearman,8,0.2142857142857143,0.07142857142857142
27,all,surrogate_spearman,32,-0.11180351906158356,-0.11693548387096775
27,all,surrogate_mae,32,0.0439882697947214,0.08870967741935486
27,all,surrogate_rmse,32,0.056451612903225805,0.08467741935483872
27,informed,surrogate_spearman,26,-0.23145299145299145,-0.1876923076923077
27,generic,surrogate_spearman,6,-0.942857142857143,-0.8666666666666666
27,informed,pren_spearman,26,0.21641025641025638,0.13846153846153847
27,generic,fake_pren_spearman,6,-0.48571428571428577,-0.3333333333333333
28,all,surrogate_spearman,32,-0.14772727272727273,-0.09677419354838711
