trial_number,trial_id,synthetic_seed,sampling_seed,schema_attempts,sample_type,ridge_spearman,ridge_mae,ridge_rmse
30,trial_0030,30200077,30200077,1,generic,0.006184051025249546,0.7675014714844048,1.0281279725764838
30,trial_0030,30200078,30200078,1,generic,0.050219094532818906,0.813832924077022,1.0593155910848229
30,trial_0030,30200079,30200079,1,informed,0.3614919853316174,0.7641171504956399,1.1629485407677236
30,trial_0030,30200080,30200080,1,informed,0.27845402483454834,0.8059661227234665,1.0726464632884274
30,trial_0030,30200081,30200081,1,informed,0.1895018395008249,0.8698817329826031,1.2604485372563856
30,trial_0030,30200082,30200082,1,informed,0.4787159029006366,0.7279877305816218,0.9783390234786459
30,trial_0030,30200083,30200083,1,informed,0.19067855832977731,0.8020220356479841,1.0694958511681218
30,trial_0030,30200084,30200084,1,generic,0.058810108333978456,0.765618579793585,1.023886095921584
30,trial_0030,30200085,30200085,1,informed,-0.1058138686585436,0.7770179600484338,1.0292219655478676
30,trial_0030,30200086,30200086,1,informed,0.3138195574130972,0.710527982389654,0.9268141611985327
30,trial_0030,30200087,30200087,1,informed,0.1320800901712818,1.3905118086203072,1.7494839852427826
30,trial_0030,30200088,30200088,1,informed,-0.32826506551830575,0.9928977153767767,1.3578978660219567
30,trial_0030,30200089,30200089,1,informed,0.1519078249918488,0.8733922822237591,1.2577560044176583
30,trial_0030,30200090,30200090,1,informed,0.5326874417124775,0.6462395855927552,0.9669923496905025
30,trial_0030,30200091,30200091,1,informed,0.2737265513693939,1.1399653234491,1.890067425736913
30,trial_0030,30200092,30200092,1,informed,-0.3194822305971044,2.062502597001788,2.7529928761959654
30,trial_0030,30200093,30200093,1,informed,0.1826617640721603,0.8372230130509144,1.210838342354321
30,trial_0030,30200094,30200094,1,generic,0.06444704408254044,0.7630180487049706,1.0348889310135418
30,trial_0030,30200095,30200095,1,informed,0.26757205123922273,0.9709319928764326,1.439998841295042
30,trial_0030,30200096,30200096,1,informed,0.2843107470737952,1.0460276760613585,1.485787927720395
30,trial_0030,30200097,30200097,1,informed,0.2709747643654366,3.1397060855181413,5.305574458854477
30,trial_0030,30200098,30200098,1,informed,0.3335516960448675,0.8223899220800672,1.084194246723312
