template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0055,fe_alloy,66.908,21.75,5.56,3.3,0,0.137,0,0.016,0.49,1.83,,0.004,0.005,0,0,0,0,0,0,0,0,0,0,0
epit_0056,fe_alloy,67.24,21.7,5.51,3.14,0,0.164,0,0.008,0.5,1.73,,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0
epit_0057,fe_alloy,67.17,21.7,5.51,3.16,0,0.238,0,0.015,0.5,1.7,,0.003,0.004,0,0,0,0,0,0,0,0,0,0,0
epit_0058,fe_alloy,61.679,25.92,5.9,3.19,0,0.2,0,0.03,0.47,0.96,1.62,0.024,0.007,0,0,0,0,0,0,0,0,0,0,0
epit_0059,fe_alloy,65.885,20.8,11.7,0.22,0,0.025,0,0.05,0.7,0.6,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0060,fe_alloy,66.856,20.9,10.5,0.22,0,0.054,0,0.05,0.7,0.7,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0061,fe_alloy,68.218,20.8,9.2,0.23,0,0.082,0,0.05,0.7,0.7,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0062,fe_alloy,69.102,21,8,0.23,0,0.098,0,0.05,0.8,0.7,,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0063,fe_alloy,70.315,20.6,7.4,,0,0.17,0,0.015,1.1,0.4,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0064,fe_alloy,70.572,20.5,7.2,,0,0.17,0,0.058,1.1,0.4,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0065,fe_alloy,64.23,17.4,13.2,2.57,0,0.16,0,0.019,0.64,1.73,,0.021,0.03,0,0,0,0,0,0,0,0,0,0,0
epit_0066,fe_alloy,59.3898,20.12,20.18,0.01,0.02,0.011,0,0.004,0.08,0.18,,0.003,0.0022,0,0,0,0,0,0,0,0,0,0,0
epit_0067,fe_alloy,82.37,16.35,0.17,0.02,0,,0,0.094,0.32,0.56,0.08,0.026,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0068,fe_alloy,71.07,18.1,8.22,0.36,0,,0,0.079,0.56,1.33,0.22,0.027,0.034,0,0,0,0,0,0,0,0,0,0,0
