dataset,table,target,feature,current_group,semantic_domain,causal_role,statistical_family,method,score,n,levels
mg_az91_inhibitors,Features,IE,Mor23p,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11527229050953317,68,68
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Nominal comp. (wt%) Si,material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.11501998691265676,39,20
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Nominal comp. (wt%) Fe,material,material,base_material_condition,composition_component,abs_spearman,0.11495430158603857,151,57
mg_az91_inhibitors,Features,IE,Mor27e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1148332670484106,68,68
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor30v,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11472129322311045,60,52
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,R4p+,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11470677365673873,60,20
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS3D_05_DA,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11448328650609879,60,5
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,RDF035m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11433454239585947,60,59
mg_az91_inhibitors,Features,IE,Mor30m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11431789168100584,68,68
mg_az91_inhibitors,Features,IE,CATS3D_00_DA,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11420268272890317,68,6
mg_az91_inhibitors,Features,IE,nOHs,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11395209269310515,68,4
mg_az91_inhibitors,Features,IE,TDB07u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.1135442830499823,68,44
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,RDF065m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11351246939886052,60,34
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,GGI7,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11346032481684935,60,3
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Co",material,material,base_material_condition,composition_component,abs_spearman,0.11343836331621714,75,18
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,P_VSA_s_3,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11330891548121395,60,38
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,GATS1e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11313858626393589,60,49
mpea_corrosion,Sheet1,Corrosion current density (microA/cm2),B,material,material,base_material_condition,composition_component,abs_spearman,0.11307022748306134,590,10
mg_az91_inhibitors,Features,IE,ATS1e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11261945141673328,68,57
mg_az91_inhibitors,Features,IE,F02[N-O],intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.11261229532581711,68,5
