trial_number,trial_id,trial_result_path,mean_test_spearman,median_test_spearman,std_test_spearman,mean_test_mae,mean_test_rmse,mean_test_r2,n_synth_requested,n_informed_sampled,n_generic_sampled,informed_sample_fraction,elapsed_seconds,epit_environment_coef,epit_interaction_coef,epit_material_coef,informed_feature_block_strength,informed_interaction_strength,informed_physical_marginal_prob,informed_prior_ratio,mlp_prob,pitting_material_dirichlet_active_prob,pitting_material_dirichlet_concentration,pitting_material_dirichlet_prob,all_score_n,all_score_spearman,all_score_mae,all_score_rmse,all_score_median_theta_spearman,all_score_max_theta_spearman,informed_score_n,informed_score_spearman,informed_score_mae,informed_score_rmse,informed_score_median_theta_spearman,informed_score_max_theta_spearman,generic_score_n,generic_score_spearman,generic_score_mae,generic_score_rmse,generic_score_median_theta_spearman,generic_score_max_theta_spearman,pren_score_n,pren_score_spearman,pren_score_mae,pren_score_rmse,pren_score_median_theta_spearman,pren_score_max_theta_spearman,fake_pren_score_n,fake_pren_score_spearman,fake_pren_score_mae,fake_pren_score_rmse,fake_pren_score_median_theta_spearman,fake_pren_score_max_theta_spearman
10,trial_0010,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0010/trial_result.json,0.7849518186051032,0.7788484333977477,0.018677621230291,174.30797877206382,259.5388699721891,0.6292999137264765,256,256,0,1.0,49.13600945472717,0.4064281177324425,0.9449166536311733,0.6912837137339194,0.2904594333456225,0.6318064025589459,0.0,1.0,0.75,0.7,0.1,0.0,256,0.5012530939564014,0.7337634647555059,1.0131193241166028,0.39902969322066956,0.6102006286464673,256,0.5012530939564014,0.7337634647555059,1.0131193241166028,0.39902969322066956,0.6102006286464673,0,,,,,,256,0.5018376057404592,0.775741525106071,1.0473556757616354,0.4850089108917129,0.6002269555278509,0,,,,,
11,trial_0011,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0011/trial_result.json,0.8146783308691946,0.8319955385466103,0.0324550646485291,167.19347852113566,236.08134397418743,0.6930236128970708,256,256,0,1.0,49.10722374916077,0.4283606961742644,0.8201829036467667,0.4762236054341347,0.4902298222017809,0.6278390147199137,0.0,1.0,0.75,0.35,0.25,0.0,256,0.46214590139865325,0.7264611515967423,0.990942687785648,0.3011375625293531,0.5826805990132677,256,0.46214590139865325,0.7264611515967423,0.990942687785648,0.3011375625293531,0.5826805990132677,0,,,,,,256,0.48845241710135034,0.7881906191816066,1.0651209408016038,0.4692005078512323,0.592035452879442,0,,,,,
12,trial_0012,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0012/trial_result.json,0.7811712137069884,0.7864792966224926,0.026454276147118,173.3396858165102,255.002258014584,0.64131806775617,256,256,0,1.0,54.63271236419678,0.4182671959401776,0.8044215533484848,0.4522810633692876,0.02954675994937095,0.6183386447985342,0.0,1.0,0.75,0.35,1.0,0.0,256,0.4984956209337797,0.7301824950371651,1.0166925886302496,0.39398237437148076,0.5866901169438322,256,0.4984956209337797,0.7301824950371651,1.0166925886302496,0.39398237437148076,0.5866901169438322,0,,,,,,256,0.49257174626737266,0.783854148316643,1.0608837972098035,0.4685125064269866,0.5833694273705163,0,,,,,
13,trial_0013,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0013/trial_result.json,0.817132322644585,0.8325702851267057,0.036034455911162,170.43514758162075,241.81000499325083,0.6766878228754891,256,256,0,1.0,45.65943121910095,0.42236630657550434,0.7594357773856608,0.48925962224842173,0.5878856486994934,0.9918983601681818,0.0,1.0,0.75,0.7,0.25,0.0,256,0.4619479705422099,0.7350088266636838,0.9980609060187996,0.31592090351994817,0.570483473903812,256,0.4619479705422099,0.7350088266636838,0.9980609060187996,0.31592090351994817,0.570483473903812,0,,,,,,256,0.49465984094370624,0.781879722869009,1.0581635965881346,0.47544411172100387,0.597087453126209,0,,,,,
14,trial_0014,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0014/trial_result.json,0.7825663190580577,0.7855687870211279,0.0274582118716151,197.3393107808305,269.1052366342197,0.6001412554012878,256,256,0,1.0,23.905497312545776,0.36221454968823263,0.7559496601818374,0.5724787062208951,0.6318439092438963,0.6388535890702534,0.0,1.0,0.25,0.7,0.25,0.0,256,0.5025905111541961,0.7262568261327599,0.9993614813677594,0.3951846597819523,0.5992066705537423,256,0.5025905111541961,0.7262568261327599,0.9993614813677594,0.3951846597819523,0.5992066705537423,0,,,,,,256,0.5032974090226813,0.7726792371976812,1.0452944965450135,0.4833493998722149,0.6043395872199656,0,,,,,
15,trial_0015,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0015/trial_result.json,0.8100199921308772,0.8277501121338204,0.0347122230243201,168.5795639875495,252.30417293145277,0.6481182947418026,256,256,0,1.0,45.084774017333984,0.40495860967448827,0.7850307221316805,0.456755875674286,0.6951153461802538,0.7432469719789322,0.0,1.0,1.0,0.7,0.25,0.0,256,0.47913110527797087,0.7257955352264437,0.9625917916464566,0.18921312370214718,0.5747312715540351,256,0.47913110527797087,0.7257955352264437,0.9625917916464566,0.18921312370214718,0.5747312715540351,0,,,,,,256,0.4974823341364889,0.7793266479477561,1.056907304618873,0.47912802990729897,0.5799265567374845,0,,,,,
16,trial_0016,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0016/trial_result.json,0.6690339922422475,0.6734971944703887,0.0335590566323086,208.17750420293896,296.91074764759026,0.5146072538565153,256,256,0,1.0,45.11402225494385,0.4305116569432734,0.7065294262367476,0.5685103702529846,0.5341762139196633,0.0026145686804278645,0.25,1.0,0.75,0.2,0.25,0.5,256,0.34426889811374994,0.7511727853686873,0.9892695815956538,0.057744362547182154,0.5136803661386278,256,0.34426889811374994,0.7511727853686873,0.9892695815956538,0.057744362547182154,0.5136803661386278,0,,,,,,256,0.5019564107265931,0.7763004787839757,1.0462240015559345,0.4814387677519638,0.5999003648308096,0,,,,,
17,trial_0017,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0017/trial_result.json,0.8012017777128919,0.8024811404086397,0.0253724980968655,171.81247918928338,248.5957599005366,0.6590198726726418,256,256,0,1.0,44.34238243103027,0.3831595701770746,0.8041850321906555,0.4915296400983765,0.31830120920208826,0.5464675644307955,0.0,1.0,0.75,0.7,0.5,0.0,256,0.5013226110019003,0.7294053761693724,1.0043846381877202,0.38387260584939736,0.6025740237513865,256,0.5013226110019003,0.7294053761693724,1.0043846381877202,0.38387260584939736,0.6025740237513865,0,,,,,,256,0.4834954389741877,0.7933871179628167,1.066691028601616,0.46928184115426835,0.6021954934607753,0,,,,,
18,trial_0018,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0018/trial_result.json,0.7785007299225456,0.7745624086315795,0.0279812895880009,178.677895430001,252.8087647877053,0.6478719012750485,256,68,188,0.265625,48.16191792488098,0.6438799829127583,0.7500794223857974,0.5516657893378365,0.539110868764553,0.7592778185742657,0.0,0.25,0.75,0.7,0.1,0.0,256,0.38854263139040074,0.7431901449386816,0.9816314218186293,0.0411350373055408,0.550668942674663,68,0.4733646895899649,0.7368292980995597,1.0125238895495405,0.3719751926973107,0.550668942674663,188,-0.15792547796127757,0.7594637023743321,1.0087207945011016,-0.05475067372033056,0.5328826252377873,68,0.498779921867004,0.7732352161929394,1.0544066446769447,0.4881959721922564,0.5611884325801277,188,0.495304588987991,0.7808019036318486,1.061191583259634,0.48157945570896754,0.5771349539345617
19,trial_0019,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0019/trial_result.json,-0.0426710141551818,0.1086365741869716,0.2250271485643229,335.44559883089914,438.5068189432727,-0.0563539711118356,256,256,0,1.0,16.975794076919556,0.4591993644000201,0.7200262061065237,0.5114321285969311,0.7547623343661886,0.9324913796640544,0.0,1.0,0.0,0.2,0.25,0.0,256,0.48648501363849606,0.7385744538600522,1.0275226241005557,0.3833519729312734,0.5977801632846613,256,0.48648501363849606,0.7385744538600522,1.0275226241005557,0.3833519729312734,0.5977801632846613,0,,,,,,256,0.5042916831950627,0.7741427646725718,1.048586392233111,0.48013689500497925,0.5974622109621295,0,,,,,
