draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
29,all,surrogate_rmse,32,-0.1414956011730205,-0.10080645161290325
29,informed,surrogate_spearman,25,0.03,0.02666666666666666
29,generic,surrogate_spearman,7,-0.3571428571428572,-0.23809523809523814
29,informed,pren_spearman,25,0.17307692307692307,0.11999999999999998
29,generic,fake_pren_spearman,7,0.5714285714285715,0.5238095238095238
30,all,surrogate_spearman,32,0.03372434017595308,0.052419354838709686
30,all,surrogate_mae,32,-0.09310850439882698,-0.05645161290322581
30,all,surrogate_rmse,32,-0.1099706744868035,-0.0685483870967742
30,informed,surrogate_spearman,28,0.05090311986863711,0.06349206349206349
30,generic,surrogate_spearman,4,-0.19999999999999998,0.0
30,informed,pren_spearman,28,0.06896551724137931,0.042328042328042326
30,generic,fake_pren_spearman,4,0.39999999999999997,0.3333333333333334
31,all,surrogate_spearman,32,-0.219208211143695,-0.14516129032258066
31,all,surrogate_mae,32,0.11033724340175952,0.060483870967741944
31,all,surrogate_rmse,32,0.1312316715542522,0.0685483870967742
31,informed,surrogate_spearman,27,-0.23565323565323562,-0.13390313390313394
31,generic,surrogate_spearman,5,-0.19999999999999998,-0.19999999999999998
31,informed,pren_spearman,27,-0.09401709401709402,-0.07692307692307693
31,generic,fake_pren_spearman,5,0.0,-0.19999999999999998
32,all,surrogate_spearman,32,0.1854838709677419,0.12500000000000003
32,all,surrogate_mae,32,-0.19208211143695011,-0.12903225806451615
32,all,surrogate_rmse,32,-0.15505865102639294,-0.11290322580645162
32,informed,surrogate_spearman,27,0.19230769230769232,0.12820512820512825
32,generic,surrogate_spearman,5,-0.09999999999999999,0.0
32,informed,pren_spearman,27,0.06288156288156288,0.05413105413105414
32,generic,fake_pren_spearman,5,0.49999999999999994,0.39999999999999997
33,all,surrogate_spearman,32,-0.13856304985337242,-0.10080645161290325
33,all,surrogate_mae,32,0.17082111436950145,0.11693548387096775
33,all,surrogate_rmse,32,0.19098240469208208,0.13306451612903228
33,informed,surrogate_spearman,28,-0.19430760810071154,-0.14285714285714285
33,generic,surrogate_spearman,4,-1.0,-1.0
33,informed,pren_spearman,28,-0.041050903119868636,-0.010582010582010581
33,generic,fake_pren_spearman,4,0.19999999999999998,0.0
34,all,surrogate_spearman,32,0.14882697947214074,0.12096774193548389
34,all,surrogate_mae,32,-0.17448680351906154,-0.11693548387096775
34,all,surrogate_rmse,32,-0.2232404692082111,-0.14919354838709678
34,informed,surrogate_spearman,27,-0.04884004884004883,-0.014245014245014247
34,generic,surrogate_spearman,5,0.09999999999999999,0.0
34,informed,pren_spearman,27,0.28205128205128205,0.17948717948717952
34,generic,fake_pren_spearman,5,0.49999999999999994,0.39999999999999997
35,all,surrogate_spearman,32,0.18071847507331376,0.11693548387096775
35,all,surrogate_mae,32,-0.13673020527859234,-0.09274193548387098
