trial_number,trial_id,draw_index,model,mean_test_spearman,synthetic_seed,sampling_seed,schema_attempts,sample_type,surrogate_spearman,surrogate_mae,surrogate_rmse,pren_spearman,pren_mae,pren_rmse,fake_pren_spearman,fake_pren_mae,fake_pren_rmse
15,trial_0015,97,extra_trees,0.8100199921308772,15200097,15200097,1,informed,-0.3740592638503834,0.8615396060790631,1.1774144393785493,0.48442541739705536,0.7948938279389056,1.063594868476338,,,
15,trial_0015,98,extra_trees,0.8100199921308772,15200098,15200098,1,informed,0.16130326500988043,0.7658538034159896,0.9832449041811163,0.5105506912548219,0.7733375583844364,1.0288364330182678,,,
15,trial_0015,99,extra_trees,0.8100199921308772,15200099,15200099,1,informed,-0.2117388362569519,0.8169680287056391,1.0800579579003784,0.4162940109080116,0.8227097897640735,1.097058857728382,,,
15,trial_0015,100,extra_trees,0.8100199921308772,15200100,15200100,1,informed,0.16701544695313264,0.7626106283657587,0.982558337297627,0.26509594046229434,0.9446754373157173,1.2399786660328656,,,
15,trial_0015,101,extra_trees,0.8100199921308772,15200101,15200101,1,informed,0.35781827947003353,0.7129847394528241,0.9461034814299634,0.5614684006577831,0.6637108355857348,0.9348495825736779,,,
15,trial_0015,102,extra_trees,0.8100199921308772,15200102,15200102,1,informed,-0.05513951830239265,0.829794986504672,1.0522043248273898,0.488225823790245,0.7410388697530409,1.031844373770301,,,
15,trial_0015,103,extra_trees,0.8100199921308772,15200103,15200103,1,informed,0.21290814294633756,0.7726275772464679,0.9898020367557079,0.4001770183401557,0.8884370452360639,1.1577820833801626,,,
15,trial_0015,104,extra_trees,0.8100199921308772,15200104,15200104,1,informed,0.31597355462739135,0.7319463815352262,0.9573537504022653,0.4364389462938351,0.8023289144111803,1.1012080194809741,,,
15,trial_0015,105,extra_trees,0.8100199921308772,15200105,15200105,1,informed,0.30612209374106414,0.7450119702310319,0.9733294617835373,0.4491210778607201,0.8099579663152918,1.0909874338097352,,,
15,trial_0015,106,extra_trees,0.8100199921308772,15200106,15200106,1,informed,0.06521759365634923,0.7873100510161768,1.0461985145674468,0.30397693609004595,0.9545177876044689,1.2098169264719185,,,
15,trial_0015,107,extra_trees,0.8100199921308772,15200107,15200107,1,informed,0.3927115463413596,0.7375814685975219,0.9505069513174015,0.4931594837735575,0.8289551619449216,1.1021628966453292,,,
15,trial_0015,108,extra_trees,0.8100199921308772,15200108,15200108,1,informed,0.10157117032379614,0.7608942370681453,0.9897378368483569,0.329292034298008,0.9189424821883676,1.1982864052824078,,,
15,trial_0015,109,extra_trees,0.8100199921308772,15200109,15200109,1,informed,0.0828778364021771,0.7838608660054801,1.008961073345159,0.5280512179122367,0.6885350227115932,0.9661087511466494,,,
15,trial_0015,110,extra_trees,0.8100199921308772,15200110,15200110,1,informed,0.47256262883128963,0.7112361980912516,0.9318293432038733,0.40364471063158824,0.8571153354286304,1.1343101751054656,,,
15,trial_0015,111,extra_trees,0.8100199921308772,15200111,15200111,1,informed,0.08807095092740519,0.7695322054329132,0.998654586344071,0.49662001386840304,0.7700126004684896,1.0380994717437757,,,
15,trial_0015,112,extra_trees,0.8100199921308772,15200112,15200112,1,informed,0.37460814574631784,0.7237542982644386,0.9651431960146474,0.38241556356662304,0.8866676309147923,1.1911775200329138,,,
15,trial_0015,113,extra_trees,0.8100199921308772,15200113,15200113,1,informed,0.02725081888882716,0.7548170454687456,1.0046498139332696,0.46353892129819574,0.8093973967693109,1.0771258903501697,,,
15,trial_0015,114,extra_trees,0.8100199921308772,15200114,15200114,1,informed,0.18842067126941314,0.7603617012730639,0.9855733955189716,0.5105987490471882,0.7727367996222999,1.0280442200495625,,,
15,trial_0015,115,extra_trees,0.8100199921308772,15200115,15200115,1,informed,0.41169953864973435,0.7206039138893019,0.9411586685957029,0.42222303852883336,0.8395564406183205,1.0916623999993722,,,
15,trial_0015,116,extra_trees,0.8100199921308772,15200116,15200116,1,informed,0.33733003445483817,0.7236839115840327,0.9578054866761427,0.4343999755383673,0.849004977637305,1.1126511509241306,,,
15,trial_0015,117,extra_trees,0.8100199921308772,15200117,15200117,1,informed,0.041761409773689195,0.7774141511388978,1.010287811645956,0.46777064501104043,0.8262187643662727,1.0740400946504165,,,
15,trial_0015,118,extra_trees,0.8100199921308772,15200118,15200118,1,informed,0.11191153530235058,0.7663713022470293,0.9880355439198005,0.39577772109647796,0.8448565747196163,1.1408415518769606,,,
15,trial_0015,119,extra_trees,0.8100199921308772,15200119,15200119,1,informed,0.4398957004953482,0.6884323942675434,0.9114477579094846,0.5605095410872278,0.6850039921395054,0.9377658150129426,,,
15,trial_0015,120,extra_trees,0.8100199921308772,15200120,15200120,1,informed,0.3385727296632178,0.7251279701043162,0.9516248025374391,0.5787557836251643,0.6831016767763519,0.9376202254688587,,,
15,trial_0015,121,extra_trees,0.8100199921308772,15200121,15200121,1,informed,0.4233940386288433,0.7074196158105326,0.9393513796249977,0.43992759211077886,0.8713452929750211,1.1246424161881243,,,
15,trial_0015,122,extra_trees,0.8100199921308772,15200122,15200122,1,informed,-0.20481783681916113,0.8336582819108781,1.067457546238221,0.21047774004219502,1.0069627108159591,1.280424851443874,,,
15,trial_0015,123,extra_trees,0.8100199921308772,15200123,15200123,1,informed,0.1927589785115374,0.7511019078548475,0.9865156061984721,0.5295133858127977,0.7195771393497028,0.9582670003129127,,,
15,trial_0015,124,extra_trees,0.8100199921308772,15200124,15200124,1,informed,0.2445427144522317,0.7485656415079793,0.9707210825291573,0.452569989888583,0.822972971646239,1.088699353186922,,,
15,trial_0015,125,extra_trees,0.8100199921308772,15200125,15200125,1,informed,0.29489716334947824,0.7282638164490083,0.9582071376277157,0.5102607316395614,0.7229175283727961,0.9802179080359438,,,
15,trial_0015,126,extra_trees,0.8100199921308772,15200126,15200126,1,informed,0.03142760386164972,0.7646171533171353,1.002390039361192,0.5029683580291023,0.7194538620258963,0.9727704910194656,,,
15,trial_0015,127,extra_trees,0.8100199921308772,15200127,15200127,1,informed,0.15172420966651018,0.7709610962154153,0.9871668811527206,0.46029697488239446,0.777991732325826,1.0509330425718584,,,
15,trial_0015,128,extra_trees,0.8100199921308772,15200128,15200128,1,informed,0.2477507987703483,0.7616699170305692,0.9798587570913551,0.5568831733374394,0.718895046201745,0.9608202035790565,,,
15,trial_0015,129,extra_trees,0.8100199921308772,15200129,15200129,1,informed,0.17591846973092148,0.759513333126891,0.9779573018592419,0.533659258844797,0.701342611333004,0.9678529845936946,,,
15,trial_0015,130,extra_trees,0.8100199921308772,15200130,15200130,1,informed,0.2751715528924145,0.743705607264021,0.9815948827510252,0.5353333949603792,0.6988327652316177,0.9575809402125156,,,
15,trial_0015,131,extra_trees,0.8100199921308772,15200131,15200131,1,informed,0.38758134536282396,0.709336939196079,0.9412843686524164,0.3647915436913388,0.917877831612622,1.190742537996218,,,
15,trial_0015,132,extra_trees,0.8100199921308772,15200132,15200132,1,informed,0.08449836042253761,0.782025222073659,1.010237114320529,0.5320040670125538,0.7132939304516572,0.9910793577949486,,,
15,trial_0015,133,extra_trees,0.8100199921308772,15200133,15200133,1,informed,0.4081438388037664,0.7093678260108147,0.9348237698096761,0.5388712877130156,0.7229243776987082,0.9871895218599083,,,
15,trial_0015,134,extra_trees,0.8100199921308772,15200134,15200134,1,informed,0.24294810928999744,0.7542427736038348,0.9732939778277039,0.49274578491077387,0.7885525736035184,1.0443297918781567,,,
15,trial_0015,135,extra_trees,0.8100199921308772,15200135,15200135,1,informed,0.3458604733167014,0.7286793521876512,0.9508618625913908,0.45974328514662616,0.7978158299881644,1.0969325485553392,,,
